Name	Set	ImageFile	Rarity	Type	Color	Cost	Ability	Family	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5	Skill 6	Skill 7	Skill 8	Banned/Restricted
The GreenBird Douji	BS31	BS31-061.jpg	Common	Spirit	Blue	0		Fighting Spirit	"[LV1][LV2] (When destroyed by the opponent) You can summon 1 Spirit card with ""WisdomKing"" in its name from your hand. If there is Soul Core on this Spirit, treat as if all the reduction of that Spirit card as filled."								
The BuddhaSculptor Pagug	BS31	BS31-062.jpg	Common	Spirit	Blue	1		Creator	"[LV1][LV2] While there is Soul Core on this Spirit, when you summon a Spirit card with ""WisdomKing"" or ""Douji"" in its name, this Spirit gets 1 extra Blue symbol."								
Kanikong	BS31	BS31-063.png	Common	Spirit	Blue	2		Fusion Beast, Imp	[LV1][LV2][LV3] The color and symbol of this Spirit is also treated as Green.	"[LV2][LV3] While there is Soul Core on this Spirit, your hand is not affected by opposing effects, and cores on your Spirits in the family ""Shellman""/""Fusion Beast"" cannot be removed by the opponent."							
The BlueSeas Douji	BS31	BS31-064.jpg	Common	Spirit	Blue	3		Vassal, Fighting Spirit	[LV1][LV2][LV3] Crush (When Attacks) Discard a number of cards from the top of your opponent's deck equal to this Spirit's Lv.								
The WhiteSky Douji	BS31	BS31-065.jpg	Common	Spirit	Blue	3		Vassal, Fighting Spirit	"[LV1][LV2] When one or more of your Spirits with ""WisdomKing""/""Douji"" in their name are destroyed by opposing effects, you can discard 3 cards from the top of your opponent's deck. If you did so, those Spirits remain on the Field exhausted."								
Yarisquid	BS31	BS31-066.jpg	Common	Spirit	Blue	3		Fusion Beast									
The Red Swords WisdomKing	BS31	BS31-067_500.jpg	Rare	Spirit	Blue	4		Vassal, Fighting Spirit	[LV1][LV2][LV3] (Your Attack Step) All opposing cost 4 or below Spirits/Ultimates cannot activate their effects.	[LV2][LV3] (When Attacks) Discard 3 cards from the top of your opponent's deck. If a Magic card is discarded by this effect, destroy 1 opposing cost 5 or less opposing Spirit/Ultimate.							
The Purifying Knowledge WismomKing	BS31	BS31-068.jpg	Common	Spirit	Blue	4		Vassal, Fighting Spirit	"[LV1][LV2][LV3] While there is Soul Core on this Spirit, all of your Spirits with ""WisdomKing"" or ""Douji"" in their names get +4000 BP."	LV2][LV3] (Your Attack Step) When your effects that discard cards from the opponent's deck discard one or more Magic cards, move 1 core from the void to this Spirit.							
Nautilus-Golem	BS31	BS31-069.jpg	Common	Spirit	Blue	5		Artificial Soldier									
The Blue Seas WisdomKing	BS31	BS31-070.png	Master Rare	Spirit	Blue	6		Fighting Spirit	[LV1][LV2] (When Attacks) Discard 7 cards from the top of your opponent's deck.	[LV2] (When Attacks) When your opponent's deck is discarded from by this Spirit's effect, by sending Soul Core on this Spirit to the trash, discard an additional 7 cards from the top of your opponent's deck.							
The MasterFencerBeastman Gaou	BS31	BS31-071.jpg	Common	Spirit	Blue	7		Sword Master, Beast Head	[LV1][LV2] (When Summoned) Destroy 1 cost 7 or less opposing Spirit or Ultimate without Soul Core on it.	[LV2] (When Attacks) While there is Soul Core on this Spirit, your opponent can only block with a Spirit with Soul Core on it.							
The Salvation WisdomKing	BS31	BS31-072.jpg	Uncommon	Spirit	Blue	10		Fighting Spirit	When a card with a Burst effect is discarded from the opponent's deck due to your effects that discard cards from your opponent's deck, you can summon this Spirit card from your hand without paying the cost.	[LV2][LV3] (When Attacks) Discard 5 cards from the top of your opponent's deck. When a cost 5 or less card is discarded by this effect, discard 1 opposing set Burst.							
The DragonArmor Dragmaru	BS31	BS31-073.jpg	Common	Brave	Red	3		Machine Dragon	Cost 4 or more	[When Braved] (When Battles) This Spirit gets +4000 BP.							
The ArmoredFlyingDragon Oosodelgar	BS31	BS31-074_500.jpg	Rare	Brave	Red	5	True-Clash	Machine Dragon	 Cost 1 or higher	[LV1] (When Summoned) Destroy 3 opposing Spirits/Ultimates with 4000 BP or less. If Soul Core was used to pay the summon cost, additionally, destroy 1 opposing brave fused Brave.							
Origamibird	BS31	BS31-075.jpg	Common	Brave	Purple	4		Evil Shadow, Spiritual Beast	Cost 4 or more	This Brave card in Trash is treated as cost 2.	[When Braved] (When Attacks) You can target and attack 1 exhausted opposing Spirit. If there is Soul Core on this Spirit, additionally, destroy 1 opposing brave-fused Brave.						
Origamihorse	BS31	BS31-076.jpg	Uncommon	Brave	Purple	5		Evil Shadow, Spiritual Beast	Cost 3 or more	[LV1] (When Summoned) Move cores from 1 opposing Spirit until it has only 1 core on it.	[When Braved] (When Battles) By discarding 1 card from your hand, move 1 core from any opposing Spirit to their Reserve.						
Karakuriookami	BS31	BS31-078.jpg	Uncommon	Brave	Green	4		Ninja Gale, Plant Spirit	Cost 4 or more	[When Braved] (When Attacks) Exhaust 1 opposing Spirit. While there is Soul Core on this Spirit, additionally, when only the opposing Spirit is destroyed by comparing BP, refresh this Spirit.							
The ArmoredTank Hitterkabuto	BS31	BS31-079.jpg	Common	Brave	White	4	Ultra Immunity	Machine	Cost 4 or more	[When Braved] Ultra Immunity: White/ Yellow - This Spirit is not affected by opposing Spirit/ Ultimate/ Nexus/ Magic effects of the listed colors.	[When Braved] While there is Soul Core on this Spirit, this Spirit gets [Ultra Immunity: Purple].						
The ArmoredWing Fighter	BS31	BS31-080.jpg	Common	Brave	White	5	Ultra Immunity	Machine	Cost 3 or more	[LV1] (When Summoned) Return 1 opposing Spirit or Ultimate with 6000 BP or less to the bottom of the deck.	[When Braved] Ultra Immunity: Green/Blue - This Spirit is not affected by opposing Spirit/ Ultimate/ Nexus/ Magic effects of the listed colors.						
Oborogissha	BS31	BS31-081.jpg	Common	Brave	Yellow	4		Youkai	Cost 4 or more	"When your Spirit in the ""Youkai"" family is destroyed, this Brave card in your hand can be summoned without paying the cost."	[LV1] (When Summoned) If Soul Core(Soul Core) was used to pay the summon cost, draw 1 card from your deck.						
Oukikaku	BS31	BS31-082.jpg	Common	Brave	Yellow	4		Flying Ship	Cost 4 or more	"[LV1] (When Summoned) Return 1 Spirit card in the ""War Princess"" family or 1 Yellow Magic card from your Trash to your hand."	[When Braved] (When Attacks) When you use a Magic card, after the effect resolves, the symbols on this Spirit become 2 Yellow Symbols.						
The TwinDragonBoat Hydraship	BS31	BS31-083.jpg	Common	Brave	Blue	4		Artificial Soldier	Cost 4 or more	[When Braved] (When Attacks) Discard 1 card from the top of your opponent's deck. When a cost 6 or more card is discarded by this effect, refresh this Spirit.							
Jet Karura	BS31	BS31-084_500.jpg	Rare	Brave	Blue	5		Artificial Soldier	Cost 1 or more	[LV1] (When Summoned) Draw 2 cards from your deck. After that, discard 2 cards from your hand. If Soul Core was used to pay the summon cost, increase the number of cards you draw from this effect by +1.	[When Braved] (When Battles) This Spirit gets +4000 BP.						
The Land of Sharp Valleys	BS31	BS31-085.jpg	Common	Nexus	Red	3			[LV1][LV2] (Your Main Step) When you use Soul Core to pay the summon cost of your Spirit, destroy 1 opposing Nexus.	[LV2] (Your Attack Step) When your Red Spirit destroys any opposing Spirit/Ultimate, draw 1 card from your deck.							
No. 17 Stone River	BS31	BS31-086.jpg	Uncommon	Nexus	Red	4			[LV1][LV2] When your Spirit with Soul Core on it attacks, destroy 1 opposing Spirit with BP less than or equal to the LV1 BP of the attacking Spirit.	[LV2] (Every Attack Step) While there is Soul Core on this Nexus, all your Red Spirits get +5000 BP.							
The Battleground of Thousand Spears	BS31	BS31-087.png	Rare	Nexus	Purple	4			[LV1][LV2] (Opponent's Turn) When one or more opposing Spirit/Ultimate becomes exhausted, draw 1 card from your deck.	[LV2] When your Spirit with Soul Core on it is destroyed by the opponent, destroy 1 opposing Spirit/Ultimate with cost equal or less than your destroyed Spirit/Ultimate.							
No. 3 Rock Hand	BS31	BS31-088.jpg	Common	Nexus	Purple	4			"[LV1][LV2] (Your Draw Step) By discarding 1 Spirit card in the ""Ogre Wizard"" family from your hand, increase the number of cards you draw by +2."	"[LV2] (Your Main Step) Spirit cards in the ""Ogre Wizard"" family in your Trash can be summoned by using Soul Core to pay for their summon cost."							
No. 22 Silent Hill	BS31	BS31-089.jpg	Common	Nexus	Green	4			[LV1][LV2] (Opponent's Attack Step) When your Life is decreased, for each Life decreased, draw 1 card from your deck.	[LV2] While there is Soul Core on this Nexus, cores on your Spirits/Ultimates/Nexuses can also be used for [High Speed].							
The Blowing Whirlwind	BS31	BS31-090.jpg	Common	Nexus	Green	4			"[LV1][LV2] (Your End Step) Refresh 2 of your Spirits in the ""Shellman""/""Ninja Gale"" family."	[LV2] When one or more your Spirits is destroyed, exhaust 1 opposing Spirit/Ultimate.							
No. 1 North Sea Road	BS31	BS31-091.jpg	Common	Nexus	White	3			[LV1][LV2] (Your Main Step) When you summon a white Spirit for the first time during the turn, add one core from the void to that Spirit.	[LV2] (Opponent's Attack Step) When Soul Core is on this nexus, your life cannot be decreased by opposing Ultimates with 20000 BP or less.							
The Castle of Clever Machines	BS31	BS31-092_500.jpg	Rare	Nexus	White	4			[LV1][LV2] (Opponent's End Step) During this turn, when your life was not reduced, draw 2 cards from your deck. This effect cannot be duplicated.	"[LV2] (Opponent's End Step) Reveal one from the top of your deck. If that card is a Spirit card in the family ""Clever Machine"", you may summon it without paying the cost. If you do not summon or if it is another card, it is discarded."							
The House of the Lost	BS31	BS31-093.jpg	Common	Nexus	Yellow	3			"[LV1][LV2] (Opponent's Attack Step) When your Life is reduced, you can summon 1 Spirit card in the ""Youkai"" family from your hand without paying the cost."	[LV2] (Your Attack Step) When your Spirit with Soul Core on it is destroyed, move 1 core from the void to your Life. This effect can only be used once per turn.							
No. 38 Love Princess	BS31	BS31-094.jpg	Common	Nexus	Yellow	4			[LV1][LV2] (Your Attack Step) When you use a Magic card, draw 1 card from your deck.	"[LV2] While there is Soul Core(Soul Core) on this Nexus, all opposing Nexuses without ""No."" in its name lose all of their effects."							
No. 34 Large Island	BS31	BS31-095.png	Uncommon	Nexus	Blue	3			[LV1][LV2] (Your Attack Step) While Soul Core is on this Nexus, when your Blue Spirit attacks, discard 1 card from the top of your opponent's deck, and the attacking Spirit gets +5000 BP until end of the battle.	"[LV2] (Your Main Step) Treat all the Spirit cards in your hand with ""WisdomKing"" in their name as cost 6."							
The Thousand Space Kannon Temple	BS31	BS31-096.png	Common	Nexus	Blue	4			"[LV1][LV2] (Every Attack Step) All your Spirits in the ""Fighting Spirit"" family get +2000 BP."	[LV2] (Your Attack Step) When cards are discarded from your opponent's deck due to your Spirit's (When Attacks) effect that has Soul Core on it, discard 5 cards from the top of your opponent's deck.							
Soul Aura	BS31	BS31-097.jpg	Common	Magic	Red	3			(Flash) During this turn, all your Spirits get +3000 BP. Additionally, your Spirit with Soul Core on it gets +3000 BP.								
Conflagration Slash	BS31	BS31-098.png	Rare	Magic	Red	4			(Flash) Destroy one opposing brave-fused Brave. After this resolves, when Soul Core is used to pay the cost, destroy one opposing Spirit or Ultimate with 7000 BP or less.								
Soul Draw	BS31	BS31-099.jpg	Common	Magic	Red	5			(Main) Draw 2 cards from your deck. If Soul Core was used to pay the cost, additionally, draw 1 more card from your deck.	(Flash) Target Spirit gets +4000 BP until end of turn.							
Shikigami of the Dead	BS31	BS31-100_500.jpg	Rare	Magic	Purple	3			"Flash - Summon 1 Spirit card or Brave card in the ""Ogre Wizard""/ ""Spiritual Beast"" family from your Trash."								
